iter	Logloss
0	0.6347036835
1	0.5848114757
2	0.5411465066
3	0.5031299136
4	0.4690528453
5	0.4403599479
6	0.4153532663
7	0.3935785008
8	0.3737111168
9	0.3564224157
10	0.3420744463
11	0.3295005461
12	0.3185170857
13	0.308833939
14	0.299862763
15	0.2924218957
16	0.2859667329
17	0.2798741995
18	0.274888857
19	0.2701005465
20	0.2659065165
21	0.2623286291
22	0.2593469785
23	0.2562364094
24	0.2536680973
25	0.2512679615
26	0.2491021477
27	0.2474966749
28	0.2455206818
29	0.2442810602
30	0.242950985
31	0.2416667445
32	0.240560035
33	0.239580164
34	0.2389020264
35	0.2377220068
36	0.2370434439
37	0.2364031773
38	0.2355798552
39	0.2348783133
40	0.2345284932
41	0.2340470969
42	0.2335434962
43	0.2330423987
44	0.2325917649
45	0.2323223564
46	0.2320994402
47	0.2318332467
48	0.2315631964
49	0.2312338593
50	0.2310988345
51	0.2308943925
52	0.2306710048
53	0.2305096657
54	0.2302850629
55	0.2301696444
56	0.2299993249
57	0.2299571054
58	0.2297699342
59	0.2297262678
60	0.2295806761
61	0.2294872231
62	0.2293537621
63	0.2293038035
64	0.2292183718
65	0.2291534554
66	0.229068344
67	0.2289175287
68	0.2288786823
69	0.2287688474
70	0.2286332356
71	0.228558363
72	0.2284429734
73	0.2283406408
74	0.228249687
75	0.2281678996
76	0.2280794398
77	0.2280333543
78	0.2279686171
79	0.2279202157
80	0.22784921
81	0.2277900787
82	0.2277194383
83	0.2276833311
84	0.2276067049
85	0.2275528996
86	0.2274887731
87	0.2274480176
88	0.2273947326
89	0.2273019163
90	0.2272363102
91	0.2271390714
92	0.2270699843
93	0.2270177346
94	0.2269563406
95	0.2269121078
96	0.2268851257
97	0.2268511566
98	0.2267787805
99	0.2267202791
100	0.2266530608
101	0.2266189905
102	0.2265668994
103	0.226505312
104	0.2264419257
105	0.2264057518
106	0.2263614136
107	0.2263371925
108	0.2263090961
109	0.2262754945
110	0.2262419637
111	0.226196442
112	0.2261437635
113	0.226114747
114	0.2260422246
115	0.2259532255
116	0.2259027936
117	0.2258828916
118	0.2258563354
119	0.2258237036
120	0.2258061799
121	0.2257765993
